vacancy_name,min_salary,max_salary,currency,company_name,company_city,vacancy_link,website
Client Consultant (FMCG sector),,,,NielsenIQ,Москва,https://chelyabinsk.hh.ru/vacancy/79421796?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Medical Advisor/Senior Medical Science Liaison,,,,VIATRIS,"Москва, Сокол",https://chelyabinsk.hh.ru/vacancy/83096288?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Инженер-программист,,,,АО ВАЗСИСТЕМ,Тольятти,https://chelyabinsk.hh.ru/vacancy/82966575?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Исследователь/Research Scientist (Computer Science),,,,Криптонит,"Москва, Павелецкая и еще 1 ",https://chelyabinsk.hh.ru/vacancy/76662887?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
IT рекрутер,,,,Unity in Development,"Екатеринбург, Ботаническая и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83169214?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Senior Machine Learning Engineer,4500,,€,Ventra IT Solutions,Москва,https://chelyabinsk.hh.ru/vacancy/83385149?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик данных/Специалист по машинному обучению (Junior),50000,,₽,"Альтера, интернет-агентство","Санкт-Петербург, Василеостровская",https://chelyabinsk.hh.ru/vacancy/83401869?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
IT Рекрутер,,,,ООО Региональная Энергетическая Компания,"Москва, Киевская и еще 2 ",https://chelyabinsk.hh.ru/vacancy/83230919?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
"Старший разработчик Java, Верхний поиск",,,,Ozon Информационные технологии,Москва,https://chelyabinsk.hh.ru/vacancy/82309088?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data-аналитик,,,,НИИ Восход,"Москва, Мичуринский проспект и еще 3 ",https://chelyabinsk.hh.ru/vacancy/81843695?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Аналитик данных отдела исследований клиентского опыта,,,,"ПАО ВТБ, Подразделения Поддержки и Контроля","Москва, Выставочная и еще 2 ",https://chelyabinsk.hh.ru/vacancy/78181417?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Scientist Управления модельных рисков и валидации,,,,"ПАО ВТБ, Технологический блок",Самара,https://chelyabinsk.hh.ru/vacancy/83376381?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Digital Manager,,,,Abbott Laboratories,"Москва, Войковская",https://chelyabinsk.hh.ru/vacancy/83431115?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Middle Data Scientist / Аналитик данных,,,,АО Технологии ОФС,Новосибирск,https://chelyabinsk.hh.ru/vacancy/83367484?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Менеджер по продажам курсов в сфере IT и Digital в Synergy Academy,70000,100000,₽,СИНЕРГИЯ,"Москва, Сокол",https://chelyabinsk.hh.ru/vacancy/80211386?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
Data Engineer в команду Operational DWH,,,,Райффайзен Банк,Москва,https://chelyabinsk.hh.ru/vacancy/83387955?from=vacancy_search_list&query=data+scientist,https://chelyabinsk.hh.ru
